City_ID,City,Country,Lat,Lng,Current Weather,Max Temp,Humidity,Cloudiness,Wind Speed
328,Bongandanga,CD,1.5,21.05,scattered clouds,71.19,66,25,1.92
329,Xiongzhou,CN,25.1167,114.3,clear sky,72.9,50,0,2.64
330,Esperance,AU,-33.8667,121.9,light rain,60.8,94,75,12.66
331,Zhob,PK,31.3411,69.4481,clear sky,46.47,48,0,2.21
332,Ambilobe,MG,-13.2,49.05,overcast clouds,72.72,94,99,2.75
333,Mahajanga,MG,-15.7167,46.3167,scattered clouds,77.0,94,40,2.3
334,Hitchin,GB,51.9531,-0.2652,mist,36.0,100,90,18.41
335,Tual,ID,-5.6667,132.75,light rain,83.88,79,100,20.42
336,Pangnirtung,CA,66.1451,-65.7125,broken clouds,23.5,80,76,3.53
337,Lompoc,US,34.6391,-120.4579,clear sky,60.8,63,1,9.22
338,Sorong,ID,-0.8833,131.25,overcast clouds,82.0,77,100,1.05
339,Timizart,DZ,36.8,4.2667,clear sky,49.69,83,4,5.03
340,Marsh Harbour,BS,26.5412,-77.0636,clear sky,75.07,85,0,17.94
341,Tigil,RU,57.8,158.6667,overcast clouds,22.23,92,100,23.51
342,Tevaitoa,PF,-16.7833,-151.5,clear sky,82.98,64,0,9.53
343,Den Helder,NL,52.9599,4.7593,overcast clouds,30.99,74,90,32.21
344,Mezen,RU,65.8522,44.24,few clouds,-18.71,87,12,6.71
345,Oriximina,BR,-1.7656,-55.8661,broken clouds,78.15,85,72,5.99
346,Kenora,CA,49.8167,-94.4337,snow,-18.0,63,90,10.36
347,Baykit,RU,61.67,96.37,light snow,19.04,94,100,6.02
